                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     76,                 1.1182,                 1.1452,                 1.2255,                0.89813,                0.73597,                0.79267,                0.60948,                0.85168,                0.55841,                0.94927,               0.007558,               0.007558,               0.007558
                     77,                 1.1173,                 1.1443,                 1.2231,                0.89931,                0.74268,                0.79453,                0.61065,                0.84978,                0.55624,                0.94877,               0.007525,               0.007525,               0.007525
                     78,                 1.1095,                 1.1326,                 1.2192,                0.89904,                0.74313,                0.79587,                 0.6118,                0.84879,                0.55458,                0.94744,               0.007492,               0.007492,               0.007492
                     79,                 1.0993,                  1.118,                 1.2142,                0.89238,                0.74529,                0.79638,                0.61328,                0.84498,                0.55009,                0.94537,               0.007459,               0.007459,               0.007459
                     80,                 1.0936,                 1.1156,                 1.2124,                0.89841,                0.74288,                0.79688,                0.61288,                0.84422,                0.54642,                0.94497,               0.007426,               0.007426,               0.007426
                     81,                 1.0865,                 1.1026,                 1.2054,                0.89079,                0.74638,                0.79631,                0.61272,                0.84311,                0.54049,                0.94452,               0.007393,               0.007393,               0.007393
                     82,                 1.0965,                 1.1105,                 1.2075,                 0.8926,                0.74551,                0.79674,                0.61339,                0.84218,                 0.5394,                  0.944,                0.00736,                0.00736,                0.00736
                     83,                 1.0948,                 1.1048,                 1.2074,                0.89862,                0.74579,                 0.7986,                0.61371,                0.84124,                0.53869,                0.94357,               0.007327,               0.007327,               0.007327
                     84,                 1.0902,                 1.0906,                 1.2022,                0.89966,                0.74837,                0.79928,                0.61424,                0.84099,                0.53759,                0.94308,               0.007294,               0.007294,               0.007294
                     85,                 1.0854,                 1.0925,                 1.2038,                 0.8945,                0.75033,                0.80004,                0.61471,                0.83937,                0.53644,                0.94253,               0.007261,               0.007261,               0.007261
                     86,                 1.0784,                 1.0773,                 1.1986,                0.89085,                0.74868,                0.79939,                 0.6154,                0.83801,                0.53428,                0.94176,               0.007228,               0.007228,               0.007228
                     87,                   1.08,                 1.0877,                 1.2013,                0.90153,                0.74837,                0.80038,                0.61735,                 0.8363,                0.53254,                0.94105,               0.007195,               0.007195,               0.007195
                     88,                 1.0752,                 1.0829,                 1.1965,                0.89891,                0.75093,                0.80145,                0.61835,                0.83465,                 0.5318,                0.94018,               0.007162,               0.007162,               0.007162
