                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     47,                0.92126,                0.76582,                 1.0297,                0.58922,                 0.3401,                0.34546,                0.26336,                 1.1009,                 2.2248,                 1.1628,              0.0092575,              0.0092575,              0.0092575
                     48,                0.91859,                0.77029,                 1.0251,                0.60027,                0.33977,                0.36085,                0.26969,                  1.115,                 2.1063,                 1.1656,               0.009241,               0.009241,               0.009241
                     49,                0.90483,                0.74347,                 1.0226,                0.56814,                0.35786,                0.36697,                0.27414,                 1.0988,                 2.0968,                 1.1558,              0.0092245,              0.0092245,              0.0092245
                     50,                0.90437,                0.75028,                   1.02,                0.57936,                0.36609,                0.36449,                 0.2743,                 1.0918,                 2.0972,                 1.1629,               0.009208,               0.009208,               0.009208
                     51,                0.90272,                0.73937,                 1.0154,                 0.6442,                0.35645,                0.38461,                0.28951,                 1.1074,                 2.0555,                 1.1657,              0.0091915,              0.0091915,              0.0091915
                     52,                0.89316,                0.72378,                  1.016,                0.62336,                0.35402,                0.37699,                0.28147,                 1.0989,                 2.1287,                 1.1696,               0.009175,               0.009175,               0.009175
                     53,                0.88875,                0.72583,                 1.0194,                0.60524,                0.35935,                0.37266,                0.27812,                 1.0908,                 2.0708,                  1.158,              0.0091585,              0.0091585,              0.0091585
                     54,                0.89682,                0.72145,                 1.0076,                0.58253,                0.35631,                0.36709,                 0.2762,                 1.0811,                 2.0781,                 1.1426,               0.009142,               0.009142,               0.009142
                     55,                0.87913,                0.71113,                   1.01,                0.60379,                 0.3656,                 0.3816,                0.28546,                 1.0693,                 2.0649,                 1.1399,              0.0091255,              0.0091255,              0.0091255
                     56,                0.87394,                0.70246,                 1.0065,                0.57934,                0.36385,                 0.3685,                0.27986,                 1.0765,                 2.0671,                 1.1402,               0.009109,               0.009109,               0.009109
                     57,                0.87306,                0.68982,                0.99888,                0.63687,                0.36437,                0.38357,                0.29123,                 1.0919,                 2.0673,                 1.1472,              0.0090925,              0.0090925,              0.0090925
                     58,                0.88387,                0.69636,                 1.0102,                0.63154,                0.35538,                0.37991,                0.29167,                   1.07,                 2.0837,                  1.144,               0.009076,               0.009076,               0.009076
                     59,                0.87336,                0.68305,                 1.0016,                0.61023,                0.35909,                0.37836,                0.28987,                 1.0799,                 2.0758,                 1.1431,              0.0090595,              0.0090595,              0.0090595
                     60,                0.86401,                0.68131,                0.99614,                0.57783,                0.37029,                0.38193,                0.29154,                 1.0934,                 2.1026,                   1.16,               0.009043,               0.009043,               0.009043
                     61,                0.86465,                 0.6655,                0.99422,                0.64368,                0.36108,                0.38443,                0.29324,                 1.0912,                  2.059,                 1.1479,              0.0090265,              0.0090265,              0.0090265
                     62,                0.86512,                0.67423,                0.99953,                0.61502,                0.37366,                 0.3868,                 0.2921,                 1.0904,                 2.1234,                 1.1487,                0.00901,                0.00901,                0.00901
                     63,                0.84274,                0.65414,                0.99335,                0.58975,                0.37203,                0.37671,                  0.285,                 1.0916,                  2.128,                 1.1542,              0.0089935,              0.0089935,              0.0089935
                     64,                0.84389,                0.64868,                0.98744,                 0.6279,                0.35971,                0.38156,                0.28971,                 1.0653,                 2.0935,                  1.137,               0.008977,               0.008977,               0.008977
                     65,                0.85504,                0.65167,                0.99167,                0.64188,                0.36382,                0.38355,                 0.2918,                 1.0634,                 2.0982,                 1.1438,              0.0089605,              0.0089605,              0.0089605
                     66,                0.85719,                0.64722,                0.99392,                0.61993,                 0.3697,                 0.3887,                0.29319,                 1.0787,                 2.1137,                 1.1489,               0.008944,               0.008944,               0.008944
                     67,                 0.8479,                0.64258,                0.98993,                0.64494,                0.37074,                0.39345,                0.29858,                  1.068,                 2.1256,                 1.1424,              0.0089275,              0.0089275,              0.0089275
